u,v,length,highway,geometry,edge_id
247902875,12079387203,74.84089513133601,secondary,"LINESTRING (76.9075155 8.4923935, 76.9069626 8.4927859)",35
247902875,6975591626,161.11255444791223,residential,"LINESTRING (76.9075155 8.4923935, 76.9074149 8.4922569, 76.9070931 8.4918682, 76.9067645 8.4914265, 76.9066089 8.4912567)",36
247907643,11226379825,22.06612370885674,secondary,"LINESTRING (76.9000372 8.4952307, 76.8999023 8.4953776)",37
247907643,8866195726,44.59339664141534,secondary,"LINESTRING (76.9000372 8.4952307, 76.9003347 8.4949582)",38
247907643,5249830783,129.81615756356547,residential,"LINESTRING (76.9000372 8.4952307, 76.9002587 8.4954395, 76.9004892 8.4956368, 76.9007108 8.4958103, 76.9009314 8.4959918)",39
247907697,7513245064,23.410803982619843,secondary,"LINESTRING (76.9045824 8.5001584, 76.904721 8.4999986)",40
247907697,7513124918,32.92689094831786,secondary,"LINESTRING (76.9045824 8.5001584, 76.9043801 8.5003767)",41
247907697,12079387179,39.524966485675236,residential,"LINESTRING (76.9045824 8.5001584, 76.9042911 8.4999502)",42
247907715,4476437592,10.553054353565157,secondary,"LINESTRING (76.9010101 8.494134, 76.9010842 8.4940737)",43
247907715,7513080981,106.17560767683007,secondary,"LINESTRING (76.9010101 8.494134, 76.9007336 8.4945197, 76.9005476 8.4947215, 76.9004052 8.4948759)",44
247907715,6595671459,83.69572798882096,residential,"LINESTRING (76.9010101 8.494134, 76.9005229 8.4938168, 76.90035 8.493776)",45
247912235,247912266,22.840805260062904,primary,"LINESTRING (76.9553878 8.4864036, 76.9554117 8.486359, 76.9554241 8.4863082, 76.9554165 8.4862058)",46
247912235,7566584547,219.7577577433679,primary,"LINESTRING (76.9553878 8.4864036, 76.9550652 8.4867659, 76.9549794 8.486865, 76.9549365 8.4868972, 76.95486 8.4869302, 76.9541442 8.4870917, 76.9537846 8.4871746, 76.9536514 8.4872081)",47
247912235,1117000837,21.825238357537067,primary,"LINESTRING (76.9553878 8.4864036, 76.9554429 8.4863799, 76.9554967 8.4863735, 76.9555801 8.4863848)",48
247912266,1117000837,26.830772229230625,primary,"LINESTRING (76.9554165 8.4862058, 76.9555801 8.4863848)",49
247912266,247912235,22.840805260062904,primary,"LINESTRING (76.9554165 8.4862058, 76.9554241 8.4863082, 76.9554117 8.486359, 76.9553878 8.4864036)",50
247912266,2456623765,103.7366002689968,primary,"LINESTRING (76.9554165 8.4862058, 76.9551419 8.4858783, 76.9550254 8.4856663, 76.9549484 8.4855006, 76.9549324 8.4854183)",51
247912280,2456623777,9.332869496172856,tertiary,"LINESTRING (76.9549897 8.484555, 76.954948 8.4844819)",52
247912280,11224316393,28.862152327832522,primary,"LINESTRING (76.9549897 8.484555, 76.954963 8.4846153, 76.9549515 8.4848087)",53
247912280,11224316404,37.94875277120272,primary,"LINESTRING (76.9549897 8.484555, 76.9550256 8.4845604, 76.9551177 8.4845582, 76.9551874 8.4845474, 76.9553297 8.4845148)",54
247912305,2503487437,87.71898292414825,primary,"LINESTRING (76.955714 8.4843669, 76.9561344 8.4842287, 76.9564769 8.4841379)",55
247912305,2456623777,86.05572884576486,primary,"LINESTRING (76.955714 8.4843669, 76.955626 8.4843684, 76.9552655 8.4844689, 76.9551777 8.4844872, 76.9550976 8.4844918, 76.9550314 8.4844887, 76.954948 8.4844819)",56
247929019,5701984716,7.881975047126566,tertiary,"LINESTRING (76.944092 8.5165258, 76.9441435 8.5165751)",57
247929019,12084361377,26.880703964029507,primary,"LINESTRING (76.944092 8.5165258, 76.9439835 8.5166357, 76.9439183 8.5166958)",58
247929031,5701985046,8.680164035264056,residential,"LINESTRING (76.9396434 8.5243846, 76.9397137 8.5244201)",59
247929031,7507371791,96.50909396510258,residential,"LINESTRING (76.9396434 8.5243846, 76.9395047 8.5243098, 76.9393329 8.5242415, 76.9392021 8.5241894, 76.9390509 8.5241222, 76.9389348 8.5240706, 76.9388464 8.5240235)",60
247929031,5701984690,55.27943435351547,primary,"LINESTRING (76.9396434 8.5243846, 76.9395467 8.5246007, 76.9394456 8.5248416)",61
250110935,2437238384,52.883633622259104,primary,"LINESTRING (76.9513323 8.5049652, 76.9515204 8.5054029)",62
250110935,2392727091,74.68082926557256,primary,"LINESTRING (76.9513323 8.5049652, 76.9512917 8.5050775, 76.9512327 8.5052371, 76.9512033 8.5053364, 76.9511361 8.5055103, 76.951081 8.5055854)",63
250118899,1992131988,25.78257492849867,tertiary,"LINESTRING (76.9720948 8.5140103, 76.9719689 8.5138147)",64
250118899,7509757125,14.709603430870112,residential,"LINESTRING (76.9720948 8.5140103, 76.9719722 8.5140632)",65
250118899,11222188721,77.35348410610045,tertiary,"LINESTRING (76.9720948 8.5140103, 76.9726034 8.514344, 76.9726823 8.5143928)",66
250120982,2437074919,52.21686522757875,primary,"LINESTRING (76.9496707 8.5018028, 76.9499326 8.5021945)",67
250120982,2437292794,54.606851672078875,primary,"LINESTRING (76.9496707 8.5018028, 76.9496672 8.5018118, 76.9495684 8.5020662, 76.9494947 8.502262)",68
250818921,5703708027,9.45287272513178,secondary,"LINESTRING (76.9589101 8.500959, 76.9589909 8.50093)",69
250818921,5703708022,127.87616115663891,primary,"LINESTRING (76.9589101 8.500959, 76.9590085 8.5010784, 76.9594194 8.5019877)",70
250818969,5702489944,10.506089825678737,tertiary,"LINESTRING (76.9607151 8.5205724, 76.96081 8.5205833)",71
250818969,2888978248,142.97358733814792,primary,"LINESTRING (76.9607151 8.5205724, 76.960731 8.5210919, 76.9607382 8.5213275, 76.9607545 8.5218576)",72
250818981,250818985,84.21519275201419,tertiary,"LINESTRING (76.9610273 8.520611, 76.9612936 8.5213211)",73
250818981,5702489944,24.093689064391764,tertiary,"LINESTRING (76.9610273 8.520611, 76.96081 8.5205833)",74
250818981,2392827765,22.667434706581115,tertiary,"LINESTRING (76.9610273 8.520611, 76.9612328 8.5205951)",75
250818985,2392827765,81.0040334624917,tertiary,"LINESTRING (76.9612936 8.5213211, 76.9612328 8.5205951)",76
250818985,3454619459,192.93626319352873,tertiary,"LINESTRING (76.9612936 8.5213211, 76.961383 8.5214628, 76.9615187 8.5216398, 76.961685 8.5217453, 76.9618424 8.5218055, 76.9619945 8.5218281, 76.9621336 8.5218117, 76.9623792 8.5217624, 76.9628227 8.5216861)",77
250825732,7509724106,69.88777012944087,secondary,"LINESTRING (76.9700938 8.5126552, 76.9703741 8.5127718, 76.970692 8.5128645)",78
250825732,7509724160,85.3281660069021,residential,"LINESTRING (76.9700938 8.5126552, 76.9700556 8.512725, 76.9699877 8.5128406, 76.9699 8.5129838, 76.9698094 8.5131268, 76.9697618 8.5131992, 76.9697037 8.5133178)",79
250850367,6986132876,17.545630844095037,primary,"LINESTRING (76.9476674 8.4846431, 76.9476812 8.4848003)",80
250850367,12105757506,31.13414352086084,tertiary,"LINESTRING (76.9476674 8.4846431, 76.9475222 8.4846561, 76.9473876 8.4846829)",81
250850373,7520913935,116.98911559289763,residential,"LINESTRING (76.9523081 8.4851452, 76.952305 8.4849991, 76.9523076 8.4847338, 76.9522904 8.4844651, 76.9522673 8.4842536, 76.9522517 8.4841381, 76.9522479 8.4840961)",82
250850373,7520913939,156.86372799740764,secondary,"LINESTRING (76.9523081 8.4851452, 76.952598 8.4850697, 76.9528562 8.4849716, 76.9531601 8.4848281, 76.9533153 8.4847585, 76.9534342 8.484711, 76.9536382 8.4846453)",83
250850373,7530687598,46.26585963040992,secondary,"LINESTRING (76.9523081 8.4851452, 76.952143 8.4851896, 76.9518975 8.4852341)",84
251626578,11187258615,19.93652749533436,primary,"LINESTRING (76.9058409 8.5533092, 76.9059898 8.5532069)",85
251626578,7012865333,121.97551242954864,residential,"LINESTRING (76.9058409 8.5533092, 76.9059813 8.5537744, 76.9062086 8.554208, 76.9062415 8.5543267)",86
251626578,12074509083,134.45829654601846,primary,"LINESTRING (76.9058409 8.5533092, 76.9055883 8.5534758, 76.9052884 8.5536795, 76.9048362 8.5539983)",87
251626607,4688738946,69.92555536587516,primary,"LINESTRING (76.9215663 8.5477916, 76.9217096 8.5476945, 76.9217507 8.5476441, 76.921823 8.5475053, 76.9218683 8.5473426, 76.9218597 8.5472757)",88
251626607,6176062801,156.71212585696753,primary,"LINESTRING (76.9215663 8.5477916, 76.9210336 8.5480732, 76.9204418 8.5482858, 76.9202597 8.5483444)",89
251626607,1670323282,37.199684687009295,residential,"LINESTRING (76.9215663 8.5477916, 76.9216021 8.5478969, 76.9216328 8.5479865, 76.921655 8.5480615, 76.9216732 8.5481089)",90
251772804,2437391005,2.675219453154428,secondary,"LINESTRING (76.9718054 8.5130348, 76.9717863 8.5130199)",91
251772808,7565978779,11.470886094128158,secondary,"LINESTRING (76.9733772 8.513415, 76.973276 8.51339)",92
251772808,4007140942,11.564231803447532,secondary,"LINESTRING (76.9733772 8.513415, 76.9734798 8.5134378)",93
251772808,1992131988,184.4432886930141,residential,"LINESTRING (76.9733772 8.513415, 76.973343 8.5136916, 76.9733363 8.5137121, 76.9733128 8.5137214, 76.9732608 8.5137244, 76.9726933 8.5137481, 76.9724248 8.5137696, 76.9721018 8.51379, 76.9719689 8.5138147)",94
251772818,3448587593,62.57872573091398,tertiary,"LINESTRING (76.9735355 8.5164202, 76.9735096 8.5169824)",95
251772818,3452379475,34.51453307252856,residential,"LINESTRING (76.9735355 8.5164202, 76.973222 8.516435)",96
251772818,3449158073,101.70633828364745,tertiary,"LINESTRING (76.9735355 8.5164202, 76.9736486 8.5162123, 76.9737131 8.5160788, 76.9736896 8.5158142, 76.9735925 8.5155672)",97
251772820,251772905,46.22834493112051,unclassified,"LINESTRING (76.9735102 8.5171672, 76.9736269 8.5175666)",98
251772820,3448587593,20.548957403283158,tertiary,"LINESTRING (76.9735102 8.5171672, 76.9735096 8.5169824)",99
251772820,251772822,51.3411329176055,tertiary,"LINESTRING (76.9735102 8.5171672, 76.9733344 8.5174607, 76.9732354 8.5175311)",100
251772822,251772905,43.23331873118832,unclassified,"LINESTRING (76.9732354 8.5175311, 76.9736269 8.5175666)",101
251772822,11222090421,96.9835936654966,tertiary,"LINESTRING (76.9732354 8.5175311, 76.9727737 8.5176181, 76.9726306 8.5176731, 76.972535 8.5177667, 76.9725171 8.5177979, 76.9725092 8.5178116, 76.9724738 8.5178732)",102
251772822,251772820,51.3411329176055,tertiary,"LINESTRING (76.9732354 8.5175311, 76.9733344 8.5174607, 76.9735102 8.5171672)",103
251772852,1992132309,17.31525603489679,tertiary,"LINESTRING (76.972122 8.5189211, 76.9722678 8.5188623)",104
251772852,7463643261,185.40879966731143,tertiary,"LINESTRING (76.972122 8.5189211, 76.9716522 8.5189958, 76.97115 8.5191369, 76.9704621 8.5191539)",105
251772852,1992132000,130.7939544810762,tertiary,"LINESTRING (76.972122 8.5189211, 76.9714807 8.5193283, 76.9713989 8.5193792, 76.971328 8.519522, 76.9713282 8.5196899)",106
251772905,251772820,46.22834493112051,unclassified,"LINESTRING (76.9736269 8.5175666, 76.9735102 8.5171672)",107
251772905,251772822,43.23331873118832,unclassified,"LINESTRING (76.9736269 8.5175666, 76.9732354 8.5175311)",108
251772905,251772910,27.26565272417019,unclassified,"LINESTRING (76.9736269 8.5175666, 76.9737209 8.5177935)",109
251772910,2462581675,20.427511018571963,unclassified,"LINESTRING (76.9737209 8.5177935, 76.9737956 8.5179617)",110
251772910,251772905,27.26565272417019,unclassified,"LINESTRING (76.9737209 8.5177935, 76.9736269 8.5175666)",111
251772910,6956595053,53.90618641229669,residential,"LINESTRING (76.9737209 8.5177935, 76.9740035 8.5177693, 76.9741865 8.5176746)",112
251772936,12086507891,81.6547239906573,tertiary,"LINESTRING (76.9709687 8.5234444, 76.9705208 8.5240301)",113
251772936,12086484358,45.46064508605141,residential,"LINESTRING (76.9709687 8.5234444, 76.970649 8.5231852)",114
251772936,11210639206,50.73695738560302,tertiary,"LINESTRING (76.9709687 8.5234444, 76.9711179 8.5231632, 76.9711695 8.5230342)",115
251772941,12086484289,19.301193745380665,tertiary,"LINESTRING (76.9701453 8.5245195, 76.9702515 8.5243813)",116
251772941,12086484354,41.506912350623544,residential,"LINESTRING (76.9701453 8.5245195, 76.9698143 8.5243401)",117
251772941,7010316930,168.4094262113574,tertiary,"LINESTRING (76.9701453 8.5245195, 76.969884 8.5251207, 76.969681 8.5259571)",118
251773004,1133955347,35.35860973213767,tertiary,"LINESTRING (76.9704028 8.519148, 76.9700821 8.5191709)",119
251773004,7463643261,6.554032014684011,tertiary,"LINESTRING (76.9704028 8.519148, 76.9704621 8.5191539)",120
251773004,251773007,25.955560911363598,residential,"LINESTRING (76.9704028 8.519148, 76.9703777 8.5189159)",121
251773007,12086497196,16.2914196616134,residential,"LINESTRING (76.9703777 8.5189159, 76.9703758 8.5187694)",122
251773007,251773004,25.955560911363598,residential,"LINESTRING (76.9703777 8.5189159, 76.9704028 8.519148)",123
251773007,3441428134,34.49276661293119,residential,"LINESTRING (76.9703777 8.5189159, 76.970487 8.518883, 76.97053 8.5189, 76.970663 8.518825)",124
251773019,3452384797,60.920451858701625,residential,"LINESTRING (76.9703687 8.5183642, 76.970902 8.5182159)",125
251773019,7544042005,60.590693163268654,residential,"LINESTRING (76.9703687 8.5183642, 76.9700637 8.5184018, 76.9698241 8.5184454)",126
251773019,12086497196,45.1668339534463,residential,"LINESTRING (76.9703687 8.5183642, 76.9703761 8.5185164, 76.9703665 8.5186071, 76.9703751 8.5187206, 76.9703758 8.5187694)",127
251773053,3452380566,62.027768610635285,residential,"LINESTRING (76.9661104 8.5190088, 76.9661931 8.518457)",128
251773053,7469555300,5.662202691647101,residential,"LINESTRING (76.9661104 8.5190088, 76.966059 8.5190118)",129
251773053,7463643262,179.11518104070248,residential,"LINESTRING (76.9661104 8.5190088, 76.9662849 8.5190203, 76.9664377 8.5190687, 76.9665475 8.519129, 76.9666654 8.5191813, 76.9668118 8.5192416, 76.9669947 8.5192898, 76.967301 8.5193449, 76.9674537 8.5193463, 76.9675558 8.5193304, 76.9676747 8.5192978)",130
251773089,7496616373,62.97409331179123,residential,"LINESTRING (76.9645032 8.5199987, 76.9640707 8.5203699)",131
251773089,11199622472,44.6625184106048,residential,"LINESTRING (76.9645032 8.5199987, 76.9647517 8.5203164)",132
251773089,7469555298,79.49493088743645,residential,"LINESTRING (76.9645032 8.5199987, 76.964603 8.519847, 76.9647085 8.5197056, 76.9649979 8.5194902)",133
251773097,3455337495,9.392886615322533,residential,"LINESTRING (76.9634677 8.5205965, 76.9633868 8.5206236)",134
251773097,3455337443,20.626370545313417,residential,"LINESTRING (76.9634677 8.5205965, 76.9636428 8.52053)",135
251773097,3455315061,144.90248168762236,residential,"LINESTRING (76.9634677 8.5205965, 76.9637828 8.5211185, 76.9640798 8.5217486)",136
251773101,3455321282,99.2272509530973,residential,"LINESTRING (76.962948 8.5209072, 76.962882 8.5209702, 76.9627657 8.5210372, 76.96255 8.5211505, 76.9623641 8.5212461, 76.9621613 8.521336)",137
251773101,251773113,62.65323384012032,residential,"LINESTRING (76.962948 8.5209072, 76.9629002 8.5208114, 76.9627748 8.5205904, 76.962668 8.5204168)",138
251773101,3455337495,57.6847151387012,residential,"LINESTRING (76.962948 8.5209072, 76.9631919 8.5207381, 76.9633868 8.5206236)",139
251773113,251773117,34.25859905855695,residential,"LINESTRING (76.962668 8.5204168, 76.9623612 8.5203633)",140
251773113,251773101,62.65323384012032,residential,"LINESTRING (76.962668 8.5204168, 76.9627748 8.5205904, 76.9629002 8.5208114, 76.962948 8.5209072)",141
251773113,7469555333,34.208745982815095,residential,"LINESTRING (76.962668 8.5204168, 76.9628102 8.5203866, 76.9629724 8.5203534)",142
251773117,12086436119,16.449513945059948,residential,"LINESTRING (76.9623612 8.5203633, 76.9622121 8.5203752)",143
251773117,251773113,34.25859905855695,residential,"LINESTRING (76.9623612 8.5203633, 76.962668 8.5204168)",144
251773117,3455324188,47.51587130085462,residential,"LINESTRING (76.9623612 8.5203633, 76.9625092 8.520255, 76.9627214 8.5201281)",145
252136788,7505261396,49.6562766786339,residential,"LINESTRING (76.9379351 8.4991658, 76.9374968 8.4992731)",146
252136788,11187510533,104.64723248037923,tertiary,"LINESTRING (76.9379351 8.4991658, 76.9378798 8.4989021, 76.9378442 8.4987221, 76.9378205 8.4985392, 76.937795 8.4984312, 76.9377848 8.4983212, 76.9377683 8.4982402)",147
252136788,7150624630,118.72582542273376,tertiary,"LINESTRING (76.9379351 8.4991658, 76.9379681 8.4993244, 76.9380458 8.4996348, 76.9381261 8.4999001, 76.9382237 8.5001596, 76.9382348 8.5001899)",148
252136796,7505261387,34.739540150199026,residential,"LINESTRING (76.9370542 8.4993699, 76.9369739 8.4994179, 76.9369332 8.4995081, 76.9369137 8.4996274)",149
252136796,7505261396,49.853193188308865,residential,"LINESTRING (76.9370542 8.4993699, 76.9372298 8.4993291, 76.9374968 8.4992731)",150
252136796,7589462671,85.50252041586285,residential,"LINESTRING (76.9370542 8.4993699, 76.9371083 8.4991395, 76.9371754 8.4989193, 76.9372317 8.4988106, 76.937331 8.4986594)",151
252136799,7505220083,48.17695191573682,residential,"LINESTRING (76.9371794 8.5003982, 76.9367574 8.5002819)",152
252136799,7505261387,90.6150147279389,residential,"LINESTRING (76.9371794 8.5003982, 76.9370954 8.5001095, 76.9369137 8.4996274)",153
252136799,12085280005,104.04908931495596,residential,"LINESTRING (76.9371794 8.5003982, 76.9375655 8.5004735, 76.9379371 8.5005398, 76.937994 8.5005651, 76.9380838 8.5006323)",154
252136799,7505261403,62.42395638956894,residential,"LINESTRING (76.9371794 8.5003982, 76.937186 8.500508, 76.937173 8.5009159, 76.9371796 8.5009587)",155
252415273,7477715868,12.227150012365207,secondary,"LINESTRING (76.9641641 8.5021026, 76.9642688 8.5021396)",156
252415273,11199509249,19.886801715098105,secondary,"LINESTRING (76.9641641 8.5021026, 76.9639901 8.5020539)",157
252415273,7566055232,71.01509824580279,residential,"LINESTRING (76.9641641 8.5021026, 76.964196 8.5020257, 76.9642147 8.5019474, 76.9642228 8.5018718, 76.9642507 8.5014737)",158
252415275,12086686016,10.012584237365381,residential,"LINESTRING (76.9667671 8.5037463, 76.9666762 8.5037514)",159
252415275,7498288038,25.636597417123063,secondary,"LINESTRING (76.9667671 8.5037463, 76.9665881 8.5035986)",160
252415275,13016002670,66.0354237647645,secondary,"LINESTRING (76.9667671 8.5037463, 76.9670659 8.5039211, 76.967291 8.504036)",161
252415278,7513094184,53.74373625788157,secondary,"LINESTRING (76.9691776 8.5046243, 76.9696656 8.5046502)",162
252415278,252415279,128.2200039422877,tertiary,"LINESTRING (76.9691776 8.5046243, 76.9690239 8.504433, 76.9689421 8.5042288, 76.9688756 8.5040374, 76.9688635 8.5039784, 76.9688528 8.503918, 76.9688095 8.5035553)",163
252415278,13016002670,217.54414664202196,secondary,"LINESTRING (76.9691776 8.5046243, 76.9683115 8.5043582, 76.967291 8.504036)",164
252415278,252415281,57.20272783680156,tertiary,"LINESTRING (76.9691776 8.5046243, 76.9693429 8.5049951, 76.9693916 8.5050931)",165
252415279,7513094172,57.51292702947985,tertiary,"LINESTRING (76.9688095 8.5035553, 76.9687707 8.5030395)",166
252415279,252415278,128.2200039422877,tertiary,"LINESTRING (76.9688095 8.5035553, 76.9688528 8.503918, 76.9688635 8.5039784, 76.9688756 8.5040374, 76.9689421 8.5042288, 76.9690239 8.504433, 76.9691776 8.5046243)",167
252415279,12086804160,41.32302666641442,residential,"LINESTRING (76.9688095 8.5035553, 76.968681 8.5035902, 76.9684385 8.5035902)",168
252415281,3498433007,81.1972896810498,residential,"LINESTRING (76.9693916 8.5050931, 76.9692127 8.5051809, 76.9690473 8.5052688, 76.9689154 8.5053477, 76.9687552 8.5054606)",169
252415281,7498304684,68.36964994413401,tertiary,"LINESTRING (76.9693916 8.5050931, 76.9695069 8.5053119, 76.9696757 8.50564)",170
252415281,252415278,57.20272783680156,tertiary,"LINESTRING (76.9693916 8.5050931, 76.9693429 8.5049951, 76.9691776 8.5046243)",171
252415284,7511075973,43.87552576873081,residential,"LINESTRING (76.9701959 8.5071282, 76.969834 8.5072943)",172
252415284,7511075980,76.49474787222927,tertiary,"LINESTRING (76.9701959 8.5071282, 76.9705296 8.5077318)",173
252415284,12086685967,19.733373910588092,tertiary,"LINESTRING (76.9701959 8.5071282, 76.9701338 8.5069617)",174
252415290,7470134859,41.96327463361407,residential,"LINESTRING (76.9729915 8.5044209, 76.9731218 8.5040662)",175
252415290,7511326927,107.59059661373061,secondary,"LINESTRING (76.9729915 8.5044209, 76.9730392 8.5044324, 76.9731385 8.504498, 76.9732216 8.5046254, 76.973294 8.5047315, 76.9733611 8.5048641, 76.9734549 8.5050047, 76.973639 8.505098)",176
252415290,3112732296,82.48741098080379,secondary,"LINESTRING (76.9729915 8.5044209, 76.9728769 8.5044198, 76.9727938 8.5044357, 76.9726118 8.504473, 76.9722728 8.5046067)",177
253165943,12196467308,89.35107782194704,secondary,"LINESTRING (76.9551127 8.4975371, 76.9549749 8.4977113, 76.9547436 8.497982, 76.9547016 8.4980365, 76.9546595 8.4981372, 76.9546454 8.4981857)",178
253165944,5704085565,20.34029166253065,tertiary,"LINESTRING (76.9552197 8.4973813, 76.9551009 8.4972411)",179
253165944,253165943,20.942688527232605,secondary,"LINESTRING (76.9552197 8.4973813, 76.9551127 8.4975371)",180
253165944,8798005852,10.287668861826651,tertiary,"LINESTRING (76.9552197 8.4973813, 76.9553049 8.4974195)",181
